year,state,avg_u_rate
2022,Johor,2.75
2022,Kedah,3.25
2022,Kelantan,3.85
2022,Melaka,2.875
2022,Negeri Sembilan,3.05
2022,Pahang,2.675
2022,Pulau Pinang,2.775
2022,Perak,3.325
2022,Perlis,2.85
2022,Selangor,3.05
2022,Terengganu,4.375
2022,Sabah,8.5
2022,Sarawak,3.15
2022,Kuala Lumpur,3.95
2022,Labuan,6.375
2022,Putrajaya,1.125
2021,Johor,2.45
2021,Kedah,2.45
2021,Kelantan,3.975
2021,Melaka,2.75
2021,Negeri Sembilan,2.4
2021,Pahang,2.65
2021,Pulau Pinang,2.125
2021,Perak,3.25
2021,Perlis,2.175
2021,Selangor,2.425
2021,Terengganu,4.425
2021,Sabah,7.525
2021,Sarawak,3.45
2021,Kuala Lumpur,3.325
2021,Labuan,6.75
2021,Putrajaya,0.825
